imie	nazwisko	pesel	email	odpowiedzialny	
Duszan	Kozubski	60100643059	kozubski@onet.pl	26781125	
Juliana	Ekielska	60100857265	j.ekielska@amorek.com.pl	82803345	
Tamara	Redyk	60101015646	t.redyk1@onet.pl	41859381	
Kordian	Rusek	60101343392	rusek1@onet.pl	68836897	
Antonius	Maliński	60102021194	a.malinski@buziaczek.pl	47526529	
Konstantyn	Rogalski	60102053171	rogalski@wp.pl	21250798	
Bolelut	Maculewicz	60102202490	b.maculewicz@amorek.com.pl	4974073	
Honoriusz	Gołębiewski	60102330319	golebiewski@onet.pl	15313193	
Laila	Żukowska	60102421666	l.zukowska@wp.pl	60364312	
Julia	Szczypiorska	60102485248	j.szczypiorska@o2.pl	47930594	
Adam	Urbaniak	60102775635	a.urbaniak@wp.pl	80566707	
Mieczysław	Strzoda	60110365910	m.strzoda@buziaczek.pl	45348584	
Gryzelda	Kurowska	60111943920	kurowska@o2.pl	27801532	
Sędzisława	Kolasa	60112013507	kolasa@buziaczek.pl	59937203	
Anioł	Duchnowski	60112654397	a.duchnowski@buziaczek.pl	11446839	
Kornel	Maśliński	60112692250	maslinski@o2.pl	30654076	
Ludwina	Kuczera	60120436606	l.kuczera@o2.pl	24939282	
Ida	Keffermüller	60120608627	i.keffermuller@onet.pl	16324049	
Janusz	Plater	60120886616	plater@amorek.com.pl	25754743	
Adelajda	Pajor	60121116844	a.pajor@gmail.com	4748373	
Iwa	Suchecka	60121296289	i.suchecka1@wp.pl	49670778	
Tadeusz	Szczypiorski	60121709815	szczypiorski@o2.pl	13809047	
Roberta	Kraszewska	60121876100	kraszewska@onet.pl	1285929	
Rozalinda	Jerzmanowska	60122679160	jerzmanowska@wp.pl	90658560	
Ludwika	Krupska	60122768965	krupska@gmail.com	7972480	
Tęgomira	Błach	60122774728	blach1@wp.pl	32113693	
Błażej	Perlicki	61010113296	b.perlicki@wp.pl	71447658	
Tymora	Nawarska	61010132345	t.nawarska@wp.pl	11847227	
Gilbert	Magierowski	61010698153	magierowski@gmail.com	78967800	
Mirella	Cielecka	61010958688	cielecka@amorek.com.pl	49200440	
Onufry	Pilarz	61010986470	pilarz@amorek.com.pl	10794971	
Ildefons	Ostrowski	61011095713	i.ostrowski@o2.pl	84416813	
Elmira	Pawełek	61011585104	pawelek@wp.pl	67338747	
Hanna	Nowińska	61011777725	h.nowinska@o2.pl	81999332	
Bożydar	Armiński	61012262554	b.arminski@buziaczek.pl	29973812	
Ireneusz	Estreicher	61012449917	estreicher@wp.pl	20316602	
Huberta	Olechnowicz	61012546782	olechnowicz@o2.pl	81688373	
Tadeusz	Malanowski	61012565572	malanowski@amorek.com.pl	75501836	
Marian	Zawadzki	61020364358	m.zawadzki@o2.pl	29292938	
Denis	Mazurek	61021042679	mazurek@wp.pl	85771348	
Myślimir	Sito	61021640433	sito@buziaczek.pl	11847227	
Radogost	Kubicz	61021776893	r.kubicz@onet.pl	95423327	
Efraim	Warzager	61022300736	warzager1@o2.pl	57103633	
Flora	Tuchlin	61022716764	tuchlin@amorek.com.pl	24625522	
Danuta	Rymkiewicz	61031107441	rymkiewicz@onet.pl	99390603	
Donat	Gabrowski	61031143692	gabrowski@wp.pl	23464425	
Wojsław	Arctowski	61031446856	arctowski@buziaczek.pl	44165569	
Manuela	Szajna	61031532801	m.szajna@gmail.com	14132861	
Mariusz	Zatorski	61031605192	m.zatorski@buziaczek.pl	88816351	
Arleta	Keffermüller	61031621866	a.keffermuller@amorek.com.pl	13423248	
Alojza	Dziubińska	61032224983	dziubinska@amorek.com.pl	83535963	
Odyla	Umińska	61032712006	uminska@gmail.com	44827442	
Luna	Narzymska	61032846228	narzymska@onet.pl	48427362	
Alberta	Osińska	61033027042	osinska@amorek.com.pl	18148408	
Karyna	Mazurek	61033162640	mazurek11@onet.pl	39108970	
Kamira	Bies	61040188189	k.bies@amorek.com.pl	47887407	
Bona	Kraszewska	61040212622	kraszewska@wp.pl	91279669	
Miłosław	Kunachowicz	61040642551	kunachowicz@gmail.com	4735953	
Konstancjusz	Bareja	61040752735	bareja1@buziaczek.pl	26813644	
Szarlota	Dobrzańska	61041065847	s.dobrzanska@gmail.com	31351148	
Medard	Paruch	61041211118	paruch@gmail.com	48355072	
Bona	Pardecka	61041274003	pardecka@gmail.com	16180340	
Ezaw	Skłodowski	61041398697	sklodowski@onet.pl	56614387	
Rudolf	Jastrzębski	61041679051	r.jastrzebski@o2.pl	16820435	
Julianna	Andrzejczak	61041765266	andrzejczak@wp.pl	31564570	
Stefania	Szabelska	61041973520	szabelska@o2.pl	14523185	
Serwacy	Piwarski	61042195019	piwarski@amorek.com.pl	67322223	
Miłowita	Kryńska	61042210161	m.krynska@buziaczek.pl	48506140	
Rita	Radzińska	61042563221	radzinska@buziaczek.pl	20299870	
Piotr	Pilarz	61043048972	p.pilarz@o2.pl	51939591	
Maria	Rychlewski	61043096753	m.rychlewski@onet.pl	90691330	
Rudolfina	Paszkowicz	61050230825	paszkowicz@o2.pl	34176156	
Bożimir	Walczak	61050549736	walczak@amorek.com.pl	36141098	
Teresa	Siatkowska	61050716523	siatkowska@onet.pl	13399358	
Dagmara	Klimczuk	61051585443	klimczuk1@onet.pl	44908198	
Godzisław	Stasiuk	61051703632	stasiuk@wp.pl	82262535	
Tomiła	Stępkowska	61052048363	t.stepkowska@amorek.com.pl	32276216	
Filipina	Borowska	61052276562	borowska@amorek.com.pl	24560195	
Krzesisław	Paliwoda	61052442112	k.paliwoda@amorek.com.pl	65306986	
Iwa	Żądło	61052752161	i.zadlo@wp.pl	38905918	
Franciszka	Chomicka	61053043442	chomicka@buziaczek.pl	81293816	
Tyberiusz	Szebesta	61060215771	t.szebesta@buziaczek.pl	74163249	
Tamara	Koziej	61060234127	t.koziej@wp.pl	46863600	
Arlena	Bareja	61060301689	bareja11@amorek.com.pl	4804659	
Asteria	Hermanowicz	61060579460	a.hermanowicz@amorek.com.pl	77066167	
Maksa	Zielińska	61061054883	zielinska@amorek.com.pl	98850314	
Apolonia	Mrozowska	61061262666	a.mrozowska@onet.pl	81930233	
Świętomira	Kokoszka	61061321868	s.kokoszka@buziaczek.pl	42857258	
Diana	Lewandowska	61061340429	d.lewandowska@amorek.com.pl	9043493	
Tulimierz	Słaby	61061618016	t.slaby@amorek.com.pl	59923357	
Ariel	Jaśkiewicz	61061645975	jaskiewicz@o2.pl	20669303	
Andrzeja	Semik	61062338140	semik@wp.pl	43219458	
Placyda	Kołodziejska	61062473885	kolodziejska@o2.pl	32833703	
Mira	Ostrowska	61062555000	ostrowska@o2.pl	59496896	
Andrzej	Wnorowski	61071157013	a.wnorowski@o2.pl	61267048	
Kryspin	Nawarski	61071743599	k.nawarski@o2.pl	13676880	
Anatolia	Koprowska	61071792326	koprowska@onet.pl	13894690	
Sydonia	Towarnicka	61072392709	towarnicka@o2.pl	75046797	
Hilary	Tyszka	61073019618	h.tyszka@wp.pl	95414729	
Ewald	Radziński	61073022119	radzinski1@gmail.com	95423327	
Henrieta	Wilkoszewska	61080374944	wilkoszewska@onet.pl	66150236	
Brygida	Sygietyńska	61080549944	b.sygietynska@onet.pl	65244410	
Patryk	Bohosiewicz	61080665578	bohosiewicz@onet.pl	72038669	
Derwit	Jabłkowski	61080714517	d.jablkowski@onet.pl	1686209	
Sylwester	Śmiałkowski	61080866818	s.smialkowski@o2.pl	11053932	
Maryla	Słowakiewicz	61080906527	slowakiewicz@wp.pl	87055040	
Miriam	Warszycka	61081047267	warszycka1@buziaczek.pl	71093163	
Milan	Pajor	61081221351	pajor@amorek.com.pl	39814263	
Bożenna	Godlewska	61081488343	b.godlewska1@onet.pl	63516666	
Dalgur	Olszowski	61081589853	olszowski@onet.pl	77359855	
Sław	Moskwa	61081591254	s.moskwa@amorek.com.pl	92964050	
Siemomysł	Paszek	61082234936	paszek@wp.pl	7353726	
Tybita	Kurcz	61082461783	t.kurcz@o2.pl	54925668	
Dilara	Śmiałowska	61082491706	d.smialowska@wp.pl	16644869	
Grzymsława	Waśkowska	61082605646	waskowska@o2.pl	12087598	
Felicyta	Żochowska	61082740046	zochowska@amorek.com.pl	52507188	
Maksa	Snopkiewicz	61083161385	snopkiewicz@buziaczek.pl	16495740	
Jaropełk	Panuś	61090545873	j.panus@buziaczek.pl	92072860	
Sław	Obrębski	61091912830	obrebski1@gmail.com	61926685	
Celestia	Andrzejczak	61092350226	c.andrzejczak@buziaczek.pl	40019341	
Irmina	Ślusarska	61100587369	i.slusarska@amorek.com.pl	66798237	
Henryka	Niemiec	61101301647	h.niemiec@amorek.com.pl	40144580	
Seweryna	Żurawicka	61101688922	s.zurawicka@wp.pl	71313265	
Iwona	Ochab	61102128300	ochab@onet.pl	74117098	
Adrianna	Kukiz	61103075489	kukiz@buziaczek.pl	33307223	
Magda	Żądło	61110132461	zadlo@o2.pl	6699509	
Rozalinda	Wachowicz	61110139901	wachowicz@gmail.com	46378135	
Matylda	Pospieszalska	61110672406	pospieszalska@amorek.com.pl	40442739	
Wojciech	Bachleda	61110782536	bachleda@gmail.com	47911272	
Zygfryd	Pałaszewski	61111211736	z.palaszewski@gmail.com	91677129	
Jarmiła	Żakowska	61111376187	zakowska@gmail.com	17000453	
Sławek	Filipowicz	61111594932	filipowicz11@amorek.com.pl	66423321	
Melchior	Frykowski	61111775139	frykowski@onet.pl	22701400	
Cecylian	Stróżek	61111874593	c.strozek@o2.pl	88578873	
Dalmira	Stępień	61112106389	stepien@buziaczek.pl	43911316	
Gloria	Andrzejewska	61112192344	g.andrzejewska@amorek.com.pl	26644879	
Nina	Staszewska	61112606285	staszewska1@buziaczek.pl	59383486	
Florian	Pietrzak	61112691737	f.pietrzak@amorek.com.pl	29623541	
Edgar	Skubiszewski	61112712298	skubiszewski@wp.pl	85093894	
Albrecht	Borowski	61112971978	a.borowski@wp.pl	10807314	
Wiesław	Błach	61120322371	w.blach@o2.pl	39108970	
Izaura	Gutowska	61121288827	i.gutowska@o2.pl	30391245	
Izabella	Bartyzel	61121303382	bartyzel@onet.pl	20112865	
Bernadeta	Kozubek	61121677708	b.kozubek@onet.pl	18482794	
Bartosz	Wawrzyniak	61122636995	wawrzyniak@wp.pl	82707964	
Łagoda	Panuś	61122802842	panus1@gmail.com	67279666	
Pakosław	Mołdrzyk	61122893536	moldrzyk@wp.pl	90307686	
Wit	Pluta	61123081411	w.pluta@gmail.com	99568020	
Szczepan	Rubinowicz	62010120613	rubinowicz@amorek.com.pl	59787040	
Lucjan	Gębarowicz	62010123418	gebarowicz@amorek.com.pl	94840363	
Elwira	Abakanowicz	62010193549	e.abakanowicz@buziaczek.pl	41413995	
Mirka	Platajs	62010550726	m.platajs@amorek.com.pl	75701203	
Alesja	Michalak	62011124265	michalak@amorek.com.pl	57639226	
Dżem	Szablewski	62011367332	szablewski@wp.pl	18237947	
Inocenty	Szczypiorski	62011700458	i.szczypiorski@onet.pl	37231277	
Dżesika	Drzewiecka	62011992086	drzewiecka@wp.pl	20987407	
Gaj	Rusek	62012105672	g.rusek@o2.pl	34877991	
Żytomir	Firląg	62012187098	z.firlag@o2.pl	23811422	
Damazy	Koziej	62012479814	koziej@amorek.com.pl	90307686	
Stoigniew	Ryś	62013003931	s.rys@wp.pl	63002422	
Mojżesz	Muszyński	62013172556	muszynski@gmail.com	84555269	
Nira	Smolik	62020130242	smolik@buziaczek.pl	35108435	
Narcyza	Stoch	62020149220	stoch@buziaczek.pl	99656315	
Lukrecja	Wojnar	62021060786	wojnar@amorek.com.pl	37878453	
Tadea	Pajzderska	62021069464	pajzderska@wp.pl	48914991	
Marianna	Stępkowska	62021816509	stepkowska@o2.pl	40206483	
Lucjola	Szlagowska	62022018207	szlagowska@amorek.com.pl	40849551	
Amira	Cieśla	62022433800	ciesla@onet.pl	73037454	
Roland	Dębicki	62022633514	r.debicki@wp.pl	3865821	
Kanimir	Tarczałowicz	62022652113	tarczalowicz@onet.pl	24786361	
Izajasz	Danielak	62031411293	i.danielak@onet.pl	84913539	
Marcjana	Hermanowicz	62031441322	hermanowicz1@buziaczek.pl	28739465	
Sybilla	Sękiewicz	62031811321	sekiewicz@buziaczek.pl	27553683	
Bogusław	Smolarek	62032408951	smolarek@gmail.com	959739	
Budzisław	Michnik	62032685512	michnik@gmail.com	48567530	
Anastazja	Górzyńska	62032731985	a.gorzynska@amorek.com.pl	39190512	
Ryszarda	Maciejewska	62032929649	r.maciejewska@amorek.com.pl	43127903	
Sydonia	Rusek	62041555808	s.rusek@wp.pl	11847227	
Franciszka	Mąkosza	62041617867	makosza@gmail.com	9970901	
Juri	Orliński	62041652833	orlinski@o2.pl	84867395	
Roma	Kijańska	62041674589	r.kijanska@onet.pl	9825115	
Filip	Filipowicz	62041746695	filipowicz@amorek.com.pl	1614478	
Pankracy	Wróblewski	62041775013	wroblewski@wp.pl	61532144	
Grzymisław	Kotecki	62042183370	g.kotecki1@o2.pl	80003803	
Anastazy	Rudnicki	62042559191	rudnicki@wp.pl	67777640	
Bogdan	Myśliwiec	62042731559	b.mysliwiec@gmail.com	62777495	
Hadriana	Budlewska	62050209945	budlewska@buziaczek.pl	29135757	
Paulina	Konopczyńska	62050589865	p.konopczynska@amorek.com.pl	25138892	
Macieja	Waliszewska	62051695488	m.waliszewska@o2.pl	75046797	
Marcjana	Borys	62051734622	borys@o2.pl	27642298	
Danisława	Grodzicka	62052270747	grodzicka1@onet.pl	4282702	
Hieronim	Leja	62052279258	leja@onet.pl	8014764	
Ota	Dębińska	62052454688	debinska@o2.pl	28101136	
Norbert	Godlewski	62052643831	godlewski@gmail.com	59777961	
Leonard	Błachowski	62052737297	l.blachowski@gmail.com	44165569	
Faustyna	Świerczyńska	62053180681	f.swierczynska@o2.pl	41171480	
Anna	Piątek	62060531344	a.piatek@wp.pl	88939391	
Czesław	Ryndak	62060584038	c.ryndak@buziaczek.pl	92451843	
Efrem	Stoch	62060597850	stoch@onet.pl	24186196	
Wojsław	Markiewicz	62060676294	markiewicz@gmail.com	33552826	
Alojzy	Dobrucki	62060801773	a.dobrucki@amorek.com.pl	7199720	
Makary	Jagałła	62061044535	jagalla1@o2.pl	73854539	
Filipa	Malinowska	62061439122	malinowska@buziaczek.pl	54017036	
Karyna	Wielopolska	62062135041	wielopolska@buziaczek.pl	48427362	
Danko	Umiński	62062586557	uminski@o2.pl	40606234	
Makryn	Brodowicz	62062607773	brodowicz@buziaczek.pl	44438708	
Kamil	Kasperlik	62062620079	k.kasperlik@buziaczek.pl	32215441	
Bożysława	Świejkowska	62062649623	b.swiejkowska@gmail.com	91025708	
Sora	Smulikowska	62062954929	smulikowska@onet.pl	12306477	
Julita	Perkowska	62070302343	j.perkowska@o2.pl	39456764	
Apollo	Paszkowicz	62070570933	a.paszkowicz1@amorek.com.pl	59475785	
Iliana	Krudowska	62071636582	i.krudowska@amorek.com.pl	31390840	
Sora	Pardecka	62072014222	s.pardecka@amorek.com.pl	88399937	
Sławomir	Kiełbasa	62072188392	s.kielbasa@amorek.com.pl	54567053	
Bożimir	Adamiec	62072956991	b.adamiec@o2.pl	57971284	
Damazy	Olechnowicz	62073144654	d.olechnowicz@o2.pl	38707709	
Ryksa	Fiutowska	62080227027	r.fiutowska@buziaczek.pl	74873768	
Dalgur	Sito	62080702991	sito@gmail.com	10344286	
Kleopatra	Zielonko	62080996743	zielonko1@gmail.com	77151283	
Izaura	Patek	62081051360	i.patek@amorek.com.pl	94911593	
Świętosław	Korona	62081275951	korona@buziaczek.pl	52516836	
Marin	Solnica	62081546893	solnica1@gmail.com	98187142	
Ludolf	Cichy	62081695030	l.cichy@gmail.com	15762560	
Cina	Praga	62081875328	c.praga@o2.pl	65520466	
Alberta	Drewnowska	62082279329	a.drewnowska@onet.pl	99864218	
Bibiana	Knothe	62082615080	b.knothe@o2.pl	67246097	
Gertruda	Gawron	62082655846	g.gawron@wp.pl	18237947	
Maryna	Chlebek	62082731522	m.chlebek@wp.pl	12314630	
Elżbieta	Parandowska	62082958284	parandowska@gmail.com	68852342	
Henryka	Palowicz	62090130089	palowicz@gmail.com	92742883	
Kiliana	Starzyńska	62090991985	starzynska1@o2.pl	90307686	
Subisław	Niemiec	62091112152	s.niemiec@wp.pl	74247578	
Ewelina	Łagowska	62091430249	lagowska@wp.pl	85743000	
Sylwia	Filipowicz	62091649443	filipowicz@o2.pl	70613215	
Protazy	Szebesta	62092516290	p.szebesta@amorek.com.pl	73854539	
Strzeżymir	Michnik	62092526798	michnik1@onet.pl	74078161	
Ewaryst	Ryś	62092869473	e.rys@buziaczek.pl	23380746	
Ewarysta	Janczak	62092905607	e.janczak@wp.pl	76069487	
Idzia	Ignatowicz	62092958124	i.ignatowicz@gmail.com	88725265	
Dobrochna	Kmiecik	62100152869	d.kmiecik@amorek.com.pl	64472905	
Kornelia	Radzińska	62100303128	radzinska@onet.pl	47933181	
Marlena	Staniewska	62100362408	staniewska1@wp.pl	21967897	
Stanisław	Skrok	62100473454	s.skrok@o2.pl	106189	
Gizela	Ochab	62100617584	ochab11@amorek.com.pl	11562866	
Bogusława	Pluta	62100868720	b.pluta@onet.pl	21185454	
Idosława	Stephan	62101256227	i.stephan@buziaczek.pl	54548831	
Apollina	Paradowska	62101412508	a.paradowska1@amorek.com.pl	86807802	
Idzi	Otyś	62102011713	otys@amorek.com.pl	67509940	
Jaromira	Araszkiewicz	62102082340	j.araszkiewicz@buziaczek.pl	16683221	
Juri	Lipski	62102882179	lipski@o2.pl	48506140	
Teobald	Paś	62102955118	pas@amorek.com.pl	90467460	
Ajdin	Skubiszewski	62110198394	a.skubiszewski@wp.pl	57252962	
Fryderyk	Pawełek	62110858094	f.pawelek@gmail.com	17905346	
Tina	Frąc	62111121364	frac@buziaczek.pl	91695673	
Idzi	Jank	62111934212	i.jank@wp.pl	52930130	
Tybita	Szajna	62112059462	szajna@amorek.com.pl	76657199	
Ira	Adamkiewicz	62112641982	adamkiewicz@onet.pl	93463318	
Honoriusz	Kołodziej	62120488171	h.kolodziej@o2.pl	35730730	
Sława	Ochab	62120716209	s.ochab@amorek.com.pl	91047439	
Tulimir	Zawiślak	62120762491	zawislak@o2.pl	94143714	
Dżamil	Wodziński	62120788912	wodzinski@amorek.com.pl	83535963	
Henryka	Zając	62120826582	zajac1@buziaczek.pl	79254743	
Pelagiusz	Leśniewski	62121289955	p.lesniewski@o2.pl	1578027	
Tessa	Orzyłowska	62121503567	t.orzylowska@gmail.com	24713057	
Stanisław	Górka	62121506898	s.gorka@wp.pl	13355304	
Izydor	Bachleda	62121600974	bachleda1@amorek.com.pl	17709950	
Dorosława	Jaworska	62121655905	d.jaworska@gmail.com	58395726	
Gardomir	Leśków	62122215195	g.leskow@amorek.com.pl	65298342	
Ramona	Ryndak	62123088927	r.ryndak@wp.pl	30528202	
Juri	Podgórski	63010348878	j.podgorski@onet.pl	78402834	
Karina	Regulska	63010688925	k.regulska@onet.pl	63178700	
Korneliusz	Piekarski	63010865357	k.piekarski@wp.pl	72420952	
Henryka	Żądło	63011083408	zadlo@gmail.com	55352409	
Wilhelm	Kotowicz	63011176436	kotowicz1@onet.pl	82339664	
Juliusz	Wodziński	63011380253	j.wodzinski@wp.pl	62611015	
Kryspin	Kalinowski	63011481251	k.kalinowski@amorek.com.pl	88679570	
Eugeniusz	Komarnicki	63011542035	e.komarnicki@amorek.com.pl	85910501	
Kwiatosław	Melodyst	63012990417	melodyst@gmail.com	47526529	
Bronisław	Ekielski	63013135493	b.ekielski@amorek.com.pl	55008279	
Chwalibóg	Hernik	63020270439	c.hernik@amorek.com.pl	85177240	
Bożena	Broll	63021378068	broll1@gmail.com	87346735	
Żelisław	Kicki	63021876078	z.kicki@amorek.com.pl	34438494	
Róża	Sarnawska	63022093029	sarnawska@gmail.com	19494849	
Manfred	Budzynowski	63022143212	m.budzynowski@wp.pl	69782362	
Lukrecja	Kamieńska	63022772540	l.kamienska@o2.pl	79172331	
Benon	Kłodziński	63022800797	klodzinski@o2.pl	81234348	
Świętibor	Firląg	63030274571	firlag1@o2.pl	43664030	
Duszan	Kuryłowicz	63030291932	kurylowicz@onet.pl	28561116	
Sław	Frąc	63030367615	frac1@buziaczek.pl	89545625	
Sławina	Strzemecka	63030750422	s.strzemecka@wp.pl	60563568	
Leokadia	Ochocka	63030777920	ochocka@buziaczek.pl	67742066	
Olaf	Hrycyk	63031144031	o.hrycyk@onet.pl	80561340	
Rajna	Zaucha	63031309144	r.zaucha@buziaczek.pl	24560195	
Tęgomira	Żurawicka	63031972805	zurawicka@o2.pl	25071714	
Herakles	Kaznowski	63032138994	kaznowski1@amorek.com.pl	94895669	
Odo	Zawadzki	63032326313	o.zawadzki@onet.pl	15952885	
Inga	Włodarczyk	63032673064	i.wlodarczyk@amorek.com.pl	28777118	
Sławomierz	Piętka	63032753737	s.pietka@amorek.com.pl	66965805	
August	Ignatowicz	63040256158	a.ignatowicz@o2.pl	48458158	
Krystian	Piecha	63041432816	k.piecha@buziaczek.pl	22560330	
Gotszalk	Zatorski	63041581114	zatorski@o2.pl	81293816	
Tyria	Bagińska	63042205785	t.baginska@buziaczek.pl	11153350	
Richariusz	Olekszyk	63042480399	olekszyk@onet.pl	30391245	
Tęgomira	Ryndak	63042632581	ryndak@onet.pl	65244410	
Nikodem	Cielecki	63042745614	n.cielecki@amorek.com.pl	65252806	
Samir	Mołdrzyk	63042762570	moldrzyk@onet.pl	38648550	
Edmund	Kołodziej	63050247355	e.kolodziej@o2.pl	69297046	
Matylda	Regulska	63050398983	regulska@gmail.com	95050439	
Faria	Niemojowska	63050728768	f.niemojowska@amorek.com.pl	10797360	
Przemysł	Witkowski	63051008779	witkowski@buziaczek.pl	53393149	
Dobrochna	Hernik	63051062320	d.hernik@wp.pl	62042757	
Gniewosz	Dobrucki	63052125594	g.dobrucki@o2.pl	99068151	
Rozalia	Armińska	63052179425	r.arminska@gmail.com	83535963	
Karina	Michałek	63052184584	michalek@wp.pl	93463318	
Delfina	Szajna	63052388049	szajna@buziaczek.pl	18237947	
Denis	Zawiślak	63052482972	zawislak1@buziaczek.pl	35831753	
Macieja	Gryga	63060207941	m.gryga@onet.pl	59165910	
Łucjan	Wnorowski	63060798814	wnorowski@wp.pl	38596226	
Kamila	Bernadzikiewicz	63061100861	bernadzikiewicz@gmail.com	73429693	
Gniewomira	Bura	63061120324	bura@onet.pl	99813254	
Karyna	Fikus	63061184883	fikus@amorek.com.pl	99691903	
Tobiasz	Murawski	63061817754	t.murawski@buziaczek.pl	53865006	
Maurycjusz	Mirek	63061833091	mirek@o2.pl	86467205	
Lubogost	Gancarczyk	63062747533	gancarczyk@wp.pl	77438289	
Gloria	Staniewska	63062971721	g.staniewska@gmail.com	91276181	
Remigiusz	Urbański	63063054793	urbanski@wp.pl	56864466	
Leona	Korona	63070164001	l.korona@onet.pl	94028181	
Teofil	Szymanek	63070902397	szymanek@wp.pl	26820574	
Klara	Krupska	63071280504	k.krupska@amorek.com.pl	68581140	
Iryda	Śliwowska	63071579723	i.sliwowska@gmail.com	59281966	
Ludmiła	Sieradzan	63071879069	l.sieradzan@buziaczek.pl	93804646	
Marietta	Knothe	63072236764	m.knothe@amorek.com.pl	72934996	
Petronia	Bura	63072403629	bura1@onet.pl	78455574	
Chociemir	Lasocki	63072432955	lasocki@amorek.com.pl	37985794	
Dorota	Kijańska	63072467447	d.kijanska@amorek.com.pl	91025708	
Selma	Radzińska	63072594402	radzinska@amorek.com.pl	45664959	
Gardomir	Gogolewski	63080137136	g.gogolewski@o2.pl	99390603	
Wielisław	Piwarski	63080608638	w.piwarski@amorek.com.pl	25624066	
Asteria	Świerczyńska	63081147008	swierczynska@onet.pl	66152118	
Jarad	Drewniowski	63081342854	j.drewniowski@amorek.com.pl	60563568	
Dobrochna	Tarkowska	63081453060	tarkowska@amorek.com.pl	89359812	
Danisława	Kwiek	63081476427	kwiek@o2.pl	43287370	
Samuel	Panuś	63081679394	panus11@gmail.com	54297634	
Petronela	Leśniewska	63081685423	p.lesniewska@gmail.com	87058871	
Grzegorz	Sieradzan	63081754956	g.sieradzan@wp.pl	64301392	
Salomea	Bodurka	63081920322	s.bodurka@amorek.com.pl	46796521	
Konstancjusz	Abramczyk	63082280573	k.abramczyk@onet.pl	8932448	
Aurora	Szajda	63090244240	a.szajda@gmail.com	95414729	
Wahid	Pietrasiak	63091013818	pietrasiak11@amorek.com.pl	35013056	
Patrycjusz	Wyrwa	63091256596	p.wyrwa@buziaczek.pl	82859832	
Eunika	Andrzejczak	63091815366	andrzejczak@gmail.com	33839060	
Ingeborga	Mazuś	63092113388	mazus@amorek.com.pl	61722966	
Herma	Boguszewska	63092290584	h.boguszewska@wp.pl	10158897	
Alfons	Kownacka	63092676452	kownacka@wp.pl	89406576	
Aleks	Jabłczyński	63100482156	jablczynski@gmail.com	83285125	
Marcjanna	Odrzywolska	63100806086	odrzywolska@onet.pl	54751514	
Tekla	Stasiuk	63101130942	stasiuk@gmail.com	79894542	
Berta	Gnoińska	63101791400	b.gnoinska@gmail.com	48355072	
Paskal	Glinka	63102477439	p.glinka1@gmail.com	81722509	
Alina	Tomaszewska	63110539187	tomaszewska11@onet.pl	52348257	
Antonin	Świerczyński	63111194396	swierczynski@amorek.com.pl	17761121	
Dżamil	Osiński	63111414379	d.osinski@gmail.com	98896731	
Telesfor	Kaczmarski	63111644570	t.kaczmarski@o2.pl	10158897	
Flawia	Sytek	63111700687	sytek@wp.pl	83129863	
Mariusz	Gębarowicz	63111893714	m.gebarowicz@gmail.com	57193850	
Samara	Komornicka	63111904302	komornicka@amorek.com.pl	48718681	
Sydoniusz	Pawełek	63112065253	s.pawelek@buziaczek.pl	44908198	
Abraham	Solnica	63112485493	solnica@amorek.com.pl	23454464	
Dacjusz	Wachowicz	63120954170	d.wachowicz@o2.pl	92619942	
Marek	Kaczanowski	63121332414	m.kaczanowski@wp.pl	9699288	
Lubisław	Świetlicki	63121433153	swietlicki@buziaczek.pl	52385298	
Dyzma	Pankiewicz	63122526364	pankiewicz@gmail.com	70800848	
Marika	Suchorowska	63123032404	suchorowska@o2.pl	84373519	
Hestia	Kasprzyk	64010304886	kasprzyk@onet.pl	15998377	
Lajla	Platajs	64010498082	platajs11@buziaczek.pl	73074873	
Ładysław	Fikus	64010518450	fikus@gmail.com	17628984	
Adnan	Zaucha	64010846113	zaucha@amorek.com.pl	28875662	
Witold	Olszowski	64011083733	w.olszowski@onet.pl	96758038	
Larysa	Krzyżanowska	64011157049	krzyzanowska1@gmail.com	85177240	
Placyda	Strzyżewska	64011161381	strzyzewska@wp.pl	38905918	
Najsława	Kasprzyk	64011387288	n.kasprzyk@o2.pl	82803345	
Dargomir	Jałoszyński	64011460077	jaloszynski@onet.pl	63882685	
Gracjan	Zaremba	64012101818	g.zaremba@onet.pl	9565373	
Hildegarda	Piwarska	64013199249	h.piwarska@gmail.com	57307513	
Edyta	Klimek	64020194163	e.klimek@gmail.com	9872453	
Symeon	Domachowski	64020300418	domachowski@amorek.com.pl	44406730	
Dyter	Peretjatkowicz	64020382698	peretjatkowicz@onet.pl	29452885	
Miłorad	Imieliński	64020657558	imielinski1@buziaczek.pl	46677452	
Boguchwała	Żmuda	64020787806	b.zmuda@gmail.com	4735953	
Konstancjusz	Gawkowski	64021562732	k.gawkowski@o2.pl	66451320	
Nikodema	Szulc	64022931449	szulc@o2.pl	86978139	
Adrian	Niewiarowski	64022991874	niewiarowski@buziaczek.pl	31787627	
Leokadiusz	Kotowicz	64030146598	kotowicz@o2.pl	12939793	
Barbara	Broll	64030454903	broll@gmail.com	77880018	
Donald	Narzymski	64030827035	narzymski@wp.pl	79177811	
Zygbert	Skoczylas	64031447230	skoczylas@wp.pl	94099064	
Teofil	Kunachowicz	64031506739	t.kunachowicz@o2.pl	97686540	
